id_beneficiario,id_poliza,orden,nombre,apellido_paterno,apellido_materno,parentesco,fecha_nacimiento,porcentaje,rfc,telefono,email,activo,fecha_registro,id_sistema_ben
BEN-0000001,POL-013723,2,Fernanda,Rios,Lopez,Madre,1991-12-02,50,FOVM862456,,sergio.torres@gmail.com,False,2019-04-01,BEN-SYS-7281434
BEN-0000002,POL-019645,1,Arturo,Gutierrez,Martinez,Conyuge,1993-06-02,33,EXNR954030,5552314758,gloria.hernandez@gmail.com,True,2024-05-13,BEN-SYS-1856581
BEN-0000003,POL-001308,1,Elena,Cruz,Vargas,Hermano,1987-03-22,100,VIRZ698874,5548933769,laura.chavez@gmail.com,False,2022-06-20,BEN-SYS-6185823
BEN-0000004,POL-043809,1,Sofia,Rivera,Romero,Madre,1988-04-15,33,GKNE918804,5584370016,sofia.medina@gmail.com,True,2020-01-22,BEN-SYS-2847531
BEN-0000005,POL-015031,1,Norma,Ramirez,Ramos,Hijo,1993-03-09,50,NVEA810049,5529918222,,True,2023-03-11,BEN-SYS-4805897
BEN-0000006,POL-043906,1,Patricia,Martinez,Torres,Hijo,2002-01-01,50,PONJ818261,5578661486,juan.castillo@hotmail.com,True,2024-07-19,BEN-SYS-4268157
BEN-0000007,POL-011693,3,Andres,Reyes,Torres,Hijo,1979-03-25,33,JZPE745286,5538839690,,True,2023-11-11,BEN-SYS-3061813
BEN-0000008,POL-004270,1,Fernando,Torres,Silva,Hijo,1995-12-24,50,HVAK744588,5531757147,valeria.rivera@hotmail.com,True,2024-09-23,BEN-SYS-1658694
BEN-0000009,POL-033618,1,Lorena,Ruiz,Cruz,Hija,2000-01-17,33,BZTR749655,5516592827,luz.morales@gmail.com,True,2021-04-03,BEN-SYS-8989793
BEN-0000010,POL-030273,1,Daniel,Molina,Vega,Conyuge,1987-09-24,25,CRDM784600,5561093256,adriana.medina@gmail.com,True,2024-11-11,BEN-SYS-2663029
BEN-0000011,POL-033771,1,Eduardo,Ruiz,Gonzalez,Madre,1967-04-01,50,XBRH770561,,,True,2020-09-25,BEN-SYS-3522703
BEN-0000012,POL-026568,1,Rosa,Gomez,Castillo,Hija,1964-03-19,50,EBEK644940,5539691133,,True,2020-02-23,BEN-SYS-5508199
BEN-0000013,POL-029252,1,Elena,Molina,Vega,Hijo,2008-10-24,33,FKTO732102,5541258980,elena.vargas@gmail.com,False,2022-07-05,BEN-SYS-1089643
BEN-0000014,POL-027257,1,Oscar,Cruz,Ramos,Hijo,1975-01-28,100,PRKW749247,5544012937,,True,2024-05-26,BEN-SYS-4395614
BEN-0000015,POL-000023,2,Raul,Garcia,Vargas,Hijo,1974-04-23,50,UBDR963539,5536210539,sofia.chavez@hotmail.com,True,2020-01-17,BEN-SYS-1812520
BEN-0000016,POL-008586,1,Diana,Ruiz,Ramos,Conyuge,2004-07-09,33,SUWA619531,5543677667,,False,2022-11-18,BEN-SYS-6612387
BEN-0000017,POL-014143,1,Norma,Vega,Ramos,Hija,1977-05-24,50,KVDG646114,5563865620,roberto.torres@gmail.com,True,2019-06-09,BEN-SYS-7951120
BEN-0000018,POL-047954,3,Rocio,Torres,Torres,Hijo,1972-12-04,33,AURS620179,5584332954,hector.molina@gmail.com,True,2022-05-16,BEN-SYS-1080177
BEN-0000019,POL-003449,3,Pablo,Garcia,Morales,Hermano,1992-10-13,50,FAUE935845,5571435369,fernanda.gomez@hotmail.com,False,2021-12-23,BEN-SYS-9474437
