id_poliza,num_poliza,nombre,apellido_paterno,apellido_materno,rfc,fecha_nacimiento,edad,sexo,estado_civil,ocupacion,ramo,plan,fecha_emision,fecha_inicio_vigencia,fecha_fin_vigencia,num_renovaciones,status_poliza,motivo_baja,canal_venta,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,suma_asegurada,deducible,prima_neta,prima_total,forma_pago,agente_id,estado,municipio,codigo_postal,g_edad,siniest_flag
POL-000001,Vid-21-000001,Gabriela,Moreno,Vega,MOGV020429CG6,29/04/2002,24,F,Union libre,Independiente,Vida,10 anios,2021-11-23,2021-11-23,2022-11-23,4,Vigente,,Banca Seguros,,,,3000000,,54000.0,67651.2,Mensual,AG054,Veracruz,Poza Rica,36619.0,18-30,1
POL-000002,Aut-19-000002,Valeria,Torres,Castillo,TOVC020815IA8,15/08/2002,23,Femenino,Casado,Contador,Autos,Amplia Plus,2019-08-19,2019-08-19,2020-08-19,0,Vigente,,Agente,Hyundai,2024.0,Compacto,150000,8000.0,5250.0,6394.5,Trimestral,AG004,Michoacan,Morelia,58889.0,18-30,0
POL-000003,GMM-22-000003,Fernanda,Ramos,Silva,RAFS941018BC1,18/10/1994,31,M,Union libre,Ingeniero,GMM,Basico,2022-07-11,2022-07-11,2023-07-11,0,Vigente,,Banca Seguros,,,,800000,5000.0,17600.0,22049.28,Mensual,AG051,Baja California,Tecate,45784.0,31-45,0
POL-000004,Vid-19-000004,Silvia,Mendoza,Gutierrez,MESG860204IH8,04/02/1986,40,Masculino,Soltero,Arquitecto,Vida,20 anios,2019-03-12,2019-03-12,2020-03-12,0,Vigente,,Broker,,,,5000000,,99000.0,124027.2,Mensual,AG026,CDMX,Coyoacan,53982.0,31-45,1
POL-000005,Vid-20-000005,Antonio,Ramos,Castillo,RAAC960722ME2,22/07/1996,29,F,Soltero,Independiente,Vida,20 anios,2020-11-03,2020-11-03,2021-11-03,1,Vigente,,Broker,,,,3000000,,54000.0,62640.0,Anual,AG050,Guanajuato,Guanajuato,69777.0,18-30,1
POL-000006,Aut-20-000006,Pedro,Castillo,Morales,CAPM010426MH6,26/04/2001,25,Masculino,Viudo,Jubilado,Autos,RC+LT,2020-03-18,2020-03-18,2021-03-18,1,Vigente,,Agente,Toyota,2024.0,Compacto,200000,8000.0,7000.0,8120.0,Anual,AG052,Guanajuato,Irapuato,55060.0,18-30,0
POL-000007,GMM-23-000007,Mario,Reyes,Castillo,REMC680423LH5,23/04/1968,58,Masculino,Divorciado,Jubilado,GMM,Plus,2023-03-05,2023-03-05,2024-03-05,4,Vigente,,Agente,,,,1000000,8000.0,27940.0,32410.4,Anual,AG024,Chihuahua,Chihuahua,19235.0,46-60,0
POL-000008,GMM-19-000008,Carlos,Rivera,Sanchez,RICS710805YY4,05/08/1971,54,M,Casado,Director,GMM,Plus,2019-03-23,2019-03-23,2020-03-23,2,Vigente,,Directo,,,,200000,10000.0,5324.0,6484.63,Trimestral,AG013,Nuevo Leon,Apodaca,35661.0,46-60,0
POL-000009,GMM-24-000009,Jose,Nunez,Reyes,NUJR930612XL7,12/06/1993,32,M,Union libre,Empresario,GMM,Elite,2024-11-15,2024-11-15,2025-11-15,0,Vigente,,Broker,,,,3000000,8000.0,66000.0,76560.0,Anual,AG039,Guanajuato,Leon,94158.0,31-45,1
POL-000010,Aut-21-000010,Laura,Silva,Diaz,SILD630414LI6,14/04/1963,63,Masculino,Divorciado,Contador,Autos,Amplia Plus,2021-12-27,2021-12-27,2022-12-27,0,Vigente,,Broker,Hyundai,2016.0,Deportivo,200000,5000.0,7000.0,8363.6,Semestral,AG062,Michoacan,Apatzingan,,61+,0
POL-000011,GMM-23-000011,Daniel,Ortiz,Martinez,ORDM850718BP5,18/07/1985,40,Femenino,Union libre,Analista,GMM,Premium,2023-05-20,2023-05-20,2024-05-20,1,Cancelada,Falta de pago,Banca Seguros,,,,800000,8000.0,17600.0,20416.0,Anual,AG035,Coahuila,Acuna,13655.0,31-45,0
POL-000012,GMM-20-000012,Luz,Silva,Silva,SILS760312UO4,12/03/1976,50,F,Viudo,Director,GMM,Plus,2020-01-07,2020-01-07,2021-01-07,2,Vigente,,Directo,,,,500000,5000.0,12650.0,14674.0,Anual,AG015,Veracruz,Orizaba,73514.0,46-60,0
POL-000013,Aut-23-000013,Norma,Ruiz,Ramos,RUNR771123OD7,23/11/1977,48,Femenino,Casado,Empleado,Autos,Amplia,2023-12-08,2023-12-08,2024-12-08,1,Vigente,,Directo,Volkswagen,2020.0,Pick-up,800000,3000.0,28000.0,35078.4,Mensual,AG019,Yucatan,Progreso,89251.0,46-60,0
POL-000014,GMM-21-000014,Luz,Martinez,Ramos,MALR941231CY0,31/12/1994,31,F,Casado,Empleado,GMM,Elite,2021-02-25,2021-02-25,2022-02-25,2,Vigente,,Digital,,,,3000000,15000.0,66000.0,76560.0,Anual,AG008,Jalisco,Tonala,13729.0,31-45,1
POL-000015,GMM-19-000015,Gabriela,Dominguez,Morales,DOGM610221NR9,21/02/1961,65,F,Divorciado,Empresario,GMM,Basico,2019-05-29,2019-05-29,2020-05-29,1,Vigente,,Agente,,,,500000,20000.0,15125.0,18948.6,Mensual,AG059,Chihuahua,Cuauhtemoc,51823.0,61+,0
POL-000016,Acc-22-000016,Francisco,Hernandez,Flores,HEFF600914YS7,14/09/1960,65,Femenino,Union libre,Estudiante,Accidentes Personales,Familiar,2022-03-15,2022-03-15,2023-03-15,1,Vigente,,Agente,,,,300000,3000.0,3600.0,4301.28,Semestral,AG032,Queretaro,San Juan del Rio,64252.0,61+,0
POL-000017,Vid-19-000017,Silvia,Garcia,Martinez,GASM031118TG0,18/11/2003,22,M,Soltero,Arquitecto,Vida,Permanente,2019-05-03,2019-05-03,2020-05-03,2,Vigente,,Agente,,,,1000000,,18000.0,20880.0,Anual,AG046,Nuevo Leon,San Nicolas,24938.0,18-30,0
POL-000018,Aut-22-000018,Sergio,Rios,Ramirez,RISR781010BX4,10/10/1978,47,M,Union libre,Ejecutivo,Autos,Amplia,2022-05-13,2022-05-13,2023-05-13,1,Vigente,,Digital,Chevrolet,2025.0,Deportivo,800000,8000.0,28000.0,34104.0,Trimestral,AG076,Tamaulipas,Victoria,39086.0,46-60,0
POL-000019,Aut-21-000019,Gloria,Moreno,Vargas,MOGV730602EM6,02/06/1973,52,F,Viudo,Arquitecto,Autos,Amplia Plus,2021-06-11,2021-06-11,2022-06-11,0,Vigente,,Banca Seguros,Hyundai,2022.0,Deportivo,300000,8000.0,10500.0,12180.0,Anual,AG012,Chihuahua,Ciudad Juarez,15549.0,46-60,0
POL-000020,GMM-21-000020,Oscar,Rodriguez,Castillo,ROOC810422EY3,22/04/1981,45,Femenino,Divorciado,Director,GMM,Basico,2021-10-16,2021-10-16,2022-10-16,0,Vigente,,Agente,,,,800000,5000.0,18920.0,21947.2,Anual,AG077,Yucatan,Valladolid,,31-45,0
POL-000021,Acc-20-000021,Valeria,Flores,Cruz,FLVC970522FF7,22/05/1997,28,M,Viudo,Tecnico,Accidentes Personales,Individual,2020-04-27,2020-04-27,2021-04-27,0,Vigente,,Agente,,,,500000,3000.0,6000.0,7516.8,Mensual,AG035,CDMX,Coyoacan,83825.0,18-30,0
POL-000022,Aut-24-000022,Roberto,Medina,Gutierrez,MERG790521CH1,21/05/1979,46,Masculino,Divorciado,,Autos,Amplia,2024-01-05,2024-01-05,2025-01-05,1,Vigente,,Agente,Ford,2020.0,Pick-up,150000,5000.0,14000.0,6272.7,Semestral,AG079,Jalisco,Tonala,97078.0,46-60,0
POL-000023,Vid-19-000023,Irene,Chavez,Cruz,CHIC720323ME6,23/03/1972,54,F,Soltero,Jubilado,Vida,10 anios,2019-01-09,2019-01-09,2020-01-09,2,Vigente,,Agente,,,,2000000,,49680.0,57628.8,Anual,AG015,Guanajuato,Irapuato,83749.0,46-60,1
POL-000024,Aut-20-000024,Mario,Molina,Morales,MOMM941231LN4,31/12/1994,31,F,Viudo,Arquitecto,Autos,RC+LT,2020-11-15,2020-11-15,2021-11-15,2,Vigente,,Digital,Chevrolet,2024.0,Sedan,400000,3000.0,14000.0,17539.2,Mensual,AG010,Tamaulipas,Nuevo Laredo,35958.0,31-45,0
POL-000025,GMM-24-000025,Sofia,Ortiz,Perez,ORSP820919PD3,19/09/1982,43,M,Union libre,Tecnico,GMM,Plus,2024-09-05,2024-09-05,2025-09-05,1,Cancelada,Cambio de producto,Agente,,,,2000000,10000.0,45980.0,53336.8,Anual,AG052,Coahuila,Acuna,92587.0,31-45,1
POL-000026,GMM-21-000026,Silvia,Medina,Flores,MESF001116XO0,16/11/2000,25,M,Viudo,Empresario,GMM,Plus,2021-04-14,2021-04-14,2022-04-14,0,Vigente,,Agente,,,,3000000,5000.0,66000.0,82684.8,Mensual,AG013,Chihuahua,Chihuahua,57310.0,18-30,1
POL-000027,Aut-21-000027,Ricardo,Gutierrez,Rivera,GURR930706TP4,06/07/1993,32,F,Soltero,Tecnico,Autos,RC+LT,2021-08-29,2021-08-29,2022-08-29,2,Cancelada,Cambio de producto,Agente,Ford,2017.0,Camioneta,800000,5000.0,28000.0,35078.4,Mensual,AG035,Queretaro,Queretaro,94720.0,31-45,0
POL-000028,GMM-23-000028,Leticia,Romero,Ramirez,ROLR620512ZK4,12/05/1962,63,F,Viudo,Maestro,GMM,Elite,2023-04-09,2023-04-09,2024-04-09,0,Vigente,,Directo,,,,300000,20000.0,8877.0,10297.32,Anual,AG054,Queretaro,San Juan del Rio,26805.0,61+,0
POL-000029,Aut-20-000029,Roberto,Nunez,Lopez,NURL750608DJ1,08/06/1975,50,Femenino,Viudo,Tecnico,Autos,Amplia,2020-10-05,2020-10-05,2021-10-05,1,Vigente,,Broker,Hyundai,2016.0,Compacto,300000,3000.0,10500.0,12180.0,Anual,AG016,CDMX,Tlalpan,17581.0,46-60,0
POL-000030,GMM-20-000030,Patricia,Ramirez,Vega,RAPV910210CS6,10/02/1991,35,M,Casado,Consultor,GMM,Plus,2020-12-05,2020-12-05,2021-12-05,2,Vigente,,Agente,,,,300000,8000.0,17864.0,8268.48,Mensual,AG038,CDMX,Tlalpan,40395.0,31-45,0
POL-000031,Aut-19-000031,Juan,Ruiz,Silva,RUJS691125SE2,25/11/1969,56,M,Viudo,Medico,Autos,RC+LT,2019-03-19,2019-03-19,2020-03-19,2,Vigente,,Digital,Chevrolet,2016.0,Compacto,800000,3000.0,14000.0,32480.0,Anual,AG072,Queretaro,El Marques,65976.0,46-60,0
