id_pago,id_siniestro,tipo_pago,fecha_pago,monto,moneda,tipo_cambio,monto_mxn,banco_emisor,num_cheque,cuenta_destino,status_pago,autorizador,timestamp_pago
PAG-0000001,SIN-0006760,Pago hospital,2020-10-20,15977.44,MXN,18.0008,15977.44,HSBC,,274164399329444392,Aplicado,AUTH13,2026-04-30 16:27:46
PAG-0000002,SIN-0007823,Pago hospital,2022-08-27,35399.57,MXN,1.0,35399.57,BBVA,CHK-860507,559742245938326432,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000003,SIN-0017337,Reembolso,2021-06-06,16412.94,MXN,1.0,16412.94,HSBC,CHK-797292,507393659506054659,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000004,SIN-0013587,Pago directo asegurado,2023-11-29,36866.9,MXN,1.0,36866.9,Scotiabank,,762998509526417936,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000005,SIN-0005278,Reembolso,2022-02-06,10980.13,MXN,1.0,10980.13,Banorte,,179329271646455315,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000006,SIN-0000615,Pago hospital,2024-07-11,18655.5,MXN,1.0,18655.5,HSBC,CHK-206755,088881030668785068,Aplicado,AUTH05,2026-04-30 16:27:46
PAG-0000007,SIN-0017849,Pago hospital,2022-03-11,31835.06,MXN,1.0,31835.06,Santander,,674386891413958260,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000008,SIN-0014873,Pago directo asegurado,2023-06-20,56964.73,MXN,1.0,56964.73,Banorte,,227288645330581975,Aplicado,AUTH13,2026-04-30 16:27:46
PAG-0000009,SIN-0014101,Pago taller,2020-01-01,8907.14,MXN,1.0,8907.14,HSBC,,936760910851694150,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000010,SIN-0009581,Pago hospital,2022-08-07,77521.5,MXN,1.0,77521.5,HSBC,CHK-335990,500081930774327965,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000011,SIN-0000123,Pago hospital,2021-06-24,20237.68,MXN,1.0,20237.68,HSBC,CHK-547022,715538652693781191,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000012,SIN-0013329,Pago hospital,2023-09-10,20817.67,USD,1.0,20817.67,Banamex,,878793430110115321,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000013,SIN-0001255,Pago directo asegurado,2023-08-08,15071.02,USD,1.0,15071.02,BBVA,,501554871887523319,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000014,SIN-0008827,Reembolso,2020-07-26,8232.34,MXN,1.0,8232.34,Scotiabank,,777728120909241052,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000015,SIN-0016798,Pago taller,2020-04-23,14041.95,MXN,1.0,14041.95,Scotiabank,CHK-752941,163531776514039275,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000016,SIN-0003014,Pago hospital,2022-08-27,18493.91,MXN,1.0,18493.91,Santander,CHK-531383,721324891783564947,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000017,SIN-0007853,Reembolso,2022-12-16,15213.92,MXN,1.0,15213.92,HSBC,,675292672190034811,Devuelto,AUTH19,2026-04-30 16:27:46
PAG-0000018,SIN-0008604,Pago hospital,2024-03-24,29152.54,USD,1.0,29152.54,HSBC,,789698678988681050,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000019,SIN-0011644,Pago hospital,2023-11-17,6143.8,USD,1.0,6143.8,Scotiabank,,450918406406170464,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000020,SIN-0000179,Reembolso,2023-03-14,17381.79,MXN,1.0,17381.79,Santander,CHK-119844,797847854870835389,Aplicado,AUTH20,2026-04-30 16:27:46
